gender,age,marital_status,qualification,smoke,smoke_numerical
Male,38,Divorced,No Qualification,No,0
Female,42,Single,No Qualification,Yes,1
Male,40,Married,Degree,No,0
Female,40,Married,Degree,No,0
Female,39,Married,GCSE/O Level,No,0
Female,37,Married,GCSE/O Level,No,0
Male,53,Married,Degree,Yes,1
Male,44,Single,Degree,No,0
Male,40,Single,GCSE/CSE,Yes,1
Female,41,Married,No Qualification,Yes,1
Male,72,Widowed,No Qualification,No,0
Male,49,Married,No Qualification,No,0
Male,29,Married,Degree,No,0
Female,79,Widowed,No Qualification,No,0
Male,25,Single,Degree,No,0
Female,27,Single,Degree,No,0
Female,30,Single,Degree,No,0
Male,47,Divorced,No Qualification,No,0
Female,69,Single,Other/Sub Degree,No,0
Male,55,Married,No Qualification,No,0
Female,34,Married,GCSE/CSE,Yes,1
Female,36,Married,GCSE/O Level,Yes,1
Female,56,Married,No Qualification,Yes,1
Male,71,Divorced,No Qualification,No,0
Female,38,Married,No Qualification,No,0
Female,79,Married,No Qualification,No,0
Female,58,Divorced,No Qualification,Yes,1
Female,69,Married,No Qualification,No,0
Male,83,Widowed,No Qualification,No,0
Female,73,Widowed,No Qualification,No,0
Female,42,Married,GCSE/O Level,Yes,1
Female,31,Married,GCSE/CSE,Yes,1
Male,26,Single,GCSE/CSE,No,0
Female,27,Separated,Degree,No,0
Female,57,Married,Higher/Sub Degree,No,0
Female,30,Married,ONC/BTEC,No,0
Female,22,Single,A Levels,No,0
Female,78,Widowed,No Qualification,Yes,1
Female,49,Married,ONC/BTEC,No,0
Male,74,Married,Other/Sub Degree,No,0
Male,85,Widowed,Degree,No,0
Male,75,Married,Other/Sub Degree,No,0
Female,80,Widowed,GCSE/O Level,No,0
Female,37,Married,Degree,No,0
Female,33,Single,Degree,No,0
Male,41,Divorced,A Levels,No,0
Female,81,Widowed,No Qualification,No,0
Female,76,Widowed,No Qualification,Yes,1
Female,58,Married,A Levels,No,0
Male,59,Married,Other/Sub Degree,Yes,1
Female,40,Divorced,GCSE/O Level,Yes,1
Female,54,Divorced,GCSE/O Level,No,0
Male,49,Married,Degree,No,0
Female,79,Widowed,No Qualification,No,0
Male,28,Married,Other/Sub Degree,Yes,1
Male,44,Married,Other/Sub Degree,No,0
Female,42,Single,GCSE/CSE,No,0
Female,36,Single,GCSE/CSE,No,0
Male,89,Widowed,No Qualification,No,0
Female,64,Married,No Qualification,No,0
Female,76,Married,No Qualification,No,0
Female,76,Married,No Qualification,No,0
Female,61,Married,No Qualification,No,0
Female,81,Widowed,GCSE/O Level,No,0
Female,20,Single,No Qualification,Yes,1
Female,82,Widowed,No Qualification,No,0
Female,23,Single,GCSE/O Level,Yes,1
Male,41,Married,GCSE/O Level,No,0
Female,31,Single,A Levels,No,0
Female,44,Married,A Levels,Yes,1
Female,42,Married,Degree,No,0
Male,67,Widowed,No Qualification,Yes,1
Male,53,Married,Degree,No,0
Male,76,Married,No Qualification,No,0
Male,40,Married,Other/Sub Degree,Yes,1
Male,44,Married,A Levels,No,0
Female,31,Separated,GCSE/O Level,Yes,1
Male,43,Divorced,Other/Sub Degree,Yes,1
Female,36,Separated,A Levels,No,0
Female,34,Divorced,GCSE/O Level,No,0
Female,18,Single,GCSE/O Level,Yes,1
Male,56,Married,No Qualification,No,0
Female,73,Married,No Qualification,No,0
Female,22,Single,GCSE/CSE,Yes,1
Female,33,Single,GCSE/CSE,No,0
Male,27,Single,ONC/BTEC,Yes,1
Female,33,Married,GCSE/O Level,No,0
Female,63,Married,No Qualification,No,0
Female,64,Married,A Levels,No,0
Male,54,Married,Degree,No,0
Female,34,Married,Degree,No,0
Male,78,Married,No Qualification,No,0
Female,54,Married,No Qualification,No,0
Male,56,Separated,GCSE/CSE,No,0
Male,78,Widowed,No Qualification,No,0
Female,37,Married,A Levels,No,0
Male,54,Married,Degree,No,0
Female,40,Married,GCSE/O Level,Yes,1
Female,64,Divorced,No Qualification,No,0
Female,42,Married,GCSE/O Level,No,0
Female,34,Married,Higher/Sub Degree,No,0
Female,64,Married,No Qualification,No,0
Female,50,Divorced,Other/Sub Degree,No,0
Female,31,Married,ONC/BTEC,No,0
Female,37,Married,Degree,No,0
Male,81,Married,Degree,No,0
Male,57,Separated,No Qualification,Yes,1
Female,59,Married,Higher/Sub Degree,No,0
Male,66,Married,Degree,No,0
Male,57,Married,No Qualification,No,0
Female,78,Widowed,No Qualification,No,0
Male,49,Married,Degree,No,0
Female,62,Married,GCSE/O Level,No,0
Female,17,Single,GCSE/CSE,No,0
Female,36,Single,GCSE/O Level,No,0
Female,31,Single,No Qualification,Yes,1
Female,61,Married,Higher/Sub Degree,Yes,1
Male,71,Widowed,No Qualification,Yes,1
Female,75,Widowed,No Qualification,Yes,1
Female,43,Married,Higher/Sub Degree,No,0
Female,68,Widowed,No Qualification,No,0
Female,65,Widowed,Degree,No,0
Female,85,Widowed,No Qualification,No,0
Female,35,Separated,GCSE/O Level,Yes,1
Female,52,Married,Higher/Sub Degree,No,0
Female,28,Single,ONC/BTEC,Yes,1
Male,52,Single,ONC/BTEC,No,0
Male,67,Widowed,No Qualification,Yes,1
Female,35,Divorced,No Qualification,Yes,1
Female,68,Married,No Qualification,No,0
Female,34,Married,Higher/Sub Degree,No,0
Female,57,Divorced,No Qualification,Yes,1
Male,37,Married,Higher/Sub Degree,Yes,1
Female,37,Divorced,No Qualification,Yes,1
Male,43,Divorced,No Qualification,Yes,1
Male,59,Widowed,GCSE/O Level,No,0
Female,28,Single,Degree,No,0
Female,60,Married,No Qualification,No,0
Male,16,Single,GCSE/O Level,No,0
Male,37,Single,No Qualification,Yes,1
Male,34,Married,No Qualification,No,0
Female,73,Married,No Qualification,No,0
Male,24,Single,GCSE/O Level,No,0
Female,36,Single,Higher/Sub Degree,No,0
Male,39,Separated,GCSE/O Level,Yes,1
Female,74,Married,No Qualification,No,0
Female,32,Married,GCSE/CSE,Yes,1
Female,30,Married,Degree,No,0
Female,68,Married,GCSE/O Level,No,0
Female,49,Married,No Qualification,No,0
Female,47,Married,Higher/Sub Degree,No,0
Male,30,Single,Higher/Sub Degree,Yes,1
Male,60,Divorced,No Qualification,Yes,1
Male,72,Single,Other/Sub Degree,No,0
Male,73,Married,Degree,No,0
Female,48,Widowed,GCSE/O Level,Yes,1
Male,53,Divorced,Degree,No,0
Male,17,Single,GCSE/O Level,No,0
Female,58,Married,GCSE/O Level,No,0
Female,34,Married,ONC/BTEC,No,0
Male,44,Single,GCSE/O Level,No,0
Male,23,Single,No Qualification,No,0
Male,49,Married,Degree,No,0
Male,30,Married,Degree,No,0
Female,61,Widowed,GCSE/O Level,No,0
Male,38,Separated,A Levels,Yes,1
Male,30,Single,Degree,No,0
Female,44,Married,A Levels,No,0
Male,91,Widowed,No Qualification,No,0
Male,40,Divorced,GCSE/O Level,No,0
Female,63,Married,Degree,No,0
Female,61,Divorced,No Qualification,Yes,1
Female,40,Married,Higher/Sub Degree,No,0
Female,57,Married,No Qualification,Yes,1
Female,41,Married,Degree,No,0
Female,32,Single,No Qualification,Yes,1
Male,76,Married,No Qualification,No,0
Female,35,Divorced,GCSE/O Level,Yes,1
Male,70,Married,No Qualification,No,0
Female,75,Widowed,No Qualification,No,0
Female,74,Widowed,No Qualification,No,0
Male,49,Married,Degree,No,0
Female,56,Married,GCSE/O Level,No,0
Male,60,Married,Degree,No,0
Female,72,Widowed,No Qualification,No,0
Male,17,Single,GCSE/O Level,No,0
Female,23,Single,Degree,No,0
Male,79,Married,No Qualification,No,0
Female,65,Separated,No Qualification,No,0
Female,57,Married,Degree,No,0
Female,37,Married,GCSE/O Level,No,0
Male,79,Single,No Qualification,No,0
Female,71,Single,No Qualification,No,0
Female,87,Widowed,No Qualification,No,0
Male,59,Married,Degree,Yes,1
Male,21,Single,ONC/BTEC,Yes,1
Female,66,Married,No Qualification,No,0
Male,58,Married,Higher/Sub Degree,No,0
Male,38,Married,GCSE/O Level,Yes,1
Male,61,Widowed,Other/Sub Degree,No,0
Male,37,Separated,Degree,No,0
Female,38,Married,GCSE/O Level,No,0
Male,34,Married,Degree,No,0
Female,34,Married,Higher/Sub Degree,No,0
Female,20,Single,GCSE/O Level,No,0
Female,77,Widowed,No Qualification,Yes,1
Female,31,Single,GCSE/O Level,Yes,1
Male,28,Single,No Qualification,Yes,1
Female,36,Married,GCSE/CSE,No,0
Female,16,Single,GCSE/O Level,Yes,1
Male,42,Married,GCSE/O Level,No,0
Female,47,Married,Higher/Sub Degree,No,0
Male,42,Married,GCSE/CSE,No,0
Female,67,Widowed,No Qualification,No,0
Female,72,Single,No Qualification,No,0
Male,40,Divorced,GCSE/O Level,Yes,1
Female,34,Single,Degree,No,0
Male,75,Married,No Qualification,No,0
Female,35,Married,GCSE/O Level,No,0
Female,40,Separated,No Qualification,Yes,1
Female,46,Married,No Qualification,No,0
Male,23,Married,GCSE/O Level,No,0
Male,42,Married,GCSE/O Level,No,0
Male,63,Married,No Qualification,No,0
Female,33,Married,A Levels,No,0
Female,31,Married,GCSE/O Level,No,0
Male,54,Single,No Qualification,No,0
Female,33,Single,ONC/BTEC,No,0
Female,24,Single,Degree,Yes,1
Female,80,Widowed,No Qualification,No,0
Female,77,Single,No Qualification,No,0
Male,51,Married,No Qualification,No,0
Male,16,Single,GCSE/O Level,No,0
Male,27,Single,ONC/BTEC,Yes,1
Female,75,Single,No Qualification,No,0
Female,24,Single,Degree,No,0
Male,78,Widowed,No Qualification,Yes,1
Female,20,Single,GCSE/O Level,No,0
Male,18,Single,GCSE/CSE,No,0
Female,25,Separated,ONC/BTEC,No,0
Female,55,Separated,No Qualification,Yes,1
Female,29,Married,Higher/Sub Degree,Yes,1
Female,67,Divorced,No Qualification,No,0
Female,79,Widowed,No Qualification,No,0
Male,44,Single,No Qualification,No,0
Male,47,Married,Degree,No,0
Female,41,Divorced,GCSE/O Level,No,0
Female,31,Married,GCSE/O Level,Yes,1
Male,32,Married,Other/Sub Degree,No,0
Female,68,Widowed,No Qualification,No,0
Female,84,Widowed,No Qualification,No,0
Male,67,Married,No Qualification,No,0
Male,49,Married,No Qualification,No,0
Male,69,Married,No Qualification,Yes,1
Male,64,Married,Higher/Sub Degree,Yes,1
Male,62,Married,No Qualification,No,0
Male,52,Divorced,No Qualification,No,0
Male,45,Married,ONC/BTEC,No,0
Female,28,Divorced,No Qualification,Yes,1
Female,36,Single,GCSE/O Level,No,0
Female,73,Divorced,No Qualification,No,0
Male,48,Widowed,No Qualification,No,0
Male,67,Widowed,No Qualification,Yes,1
Female,38,Divorced,GCSE/O Level,No,0
Female,40,Divorced,GCSE/CSE,Yes,1
Male,43,Single,Other/Sub Degree,No,0
Female,30,Single,Degree,No,0
Female,70,Widowed,No Qualification,No,0
Female,82,Widowed,No Qualification,No,0
Female,78,Widowed,No Qualification,No,0
Male,21,Single,GCSE/O Level,Yes,1
Male,67,Widowed,No Qualification,No,0
Male,16,Single,GCSE/O Level,No,0
Female,21,Single,GCSE/CSE,Yes,1
Male,68,Separated,No Qualification,Yes,1
Male,41,Married,No Qualification,Yes,1
Male,33,Single,GCSE/O Level,No,0
Female,28,Married,No Qualification,No,0
Female,75,Married,No Qualification,Yes,1
Female,21,Single,Other/Sub Degree,Yes,1
Female,69,Divorced,GCSE/CSE,No,0
Female,38,Married,GCSE/O Level,No,0
Female,33,Single,GCSE/O Level,Yes,1
Female,47,Married,No Qualification,No,0
Female,44,Single,GCSE/CSE,Yes,1
Female,74,Married,No Qualification,No,0
Female,29,Married,GCSE/O Level,No,0
Female,23,Married,A Levels,No,0
Female,72,Widowed,No Qualification,No,0
Female,31,Widowed,No Qualification,Yes,1
Female,48,Married,No Qualification,No,0
Female,29,Married,GCSE/O Level,No,0
Male,72,Married,Other/Sub Degree,No,0
Female,52,Married,No Qualification,No,0
Female,68,Single,Degree,No,0
Male,48,Married,Other/Sub Degree,Yes,1
Female,55,Married,GCSE/O Level,No,0
Female,23,Married,ONC/BTEC,Yes,1
Female,66,Widowed,No Qualification,No,0
Female,33,Single,ONC/BTEC,No,0
Female,37,Married,GCSE/CSE,Yes,1
Male,42,Married,Degree,No,0
Female,46,Married,No Qualification,Yes,1
Male,57,Married,Other/Sub Degree,No,0
Female,36,Married,GCSE/O Level,No,0
Female,51,Married,GCSE/O Level,No,0
Female,18,Single,GCSE/O Level,Yes,1
Female,69,Married,GCSE/O Level,No,0
Male,30,Single,Degree,No,0
Male,51,Married,Higher/Sub Degree,No,0
Female,63,Married,No Qualification,No,0
Female,31,Single,Degree,No,0
Male,58,Single,No Qualification,No,0
Male,50,Married,GCSE/CSE,Yes,1
Female,67,Divorced,No Qualification,Yes,1
Male,20,Single,A Levels,No,0
Female,45,Single,Degree,No,0
Female,26,Married,GCSE/O Level,No,0
Male,30,Single,Degree,No,0
Female,43,Married,Degree,No,0
Male,73,Widowed,Other/Sub Degree,No,0
Female,52,Married,Higher/Sub Degree,No,0
Male,18,Single,No Qualification,Yes,1
Male,52,Married,No Qualification,No,0
Male,33,Divorced,GCSE/O Level,No,0
Female,56,Divorced,GCSE/O Level,No,0
Female,65,Married,No Qualification,No,0
Female,30,Single,No Qualification,No,0
Female,40,Married,No Qualification,Yes,1
Female,26,Single,GCSE/CSE,Yes,1
Male,74,Single,No Qualification,No,0
Female,44,Married,Degree,No,0
Female,80,Widowed,No Qualification,No,0
Female,67,Married,No Qualification,No,0
Female,59,Married,No Qualification,No,0
Female,28,Single,Higher/Sub Degree,Yes,1
Female,31,Married,ONC/BTEC,No,0
Male,25,Single,GCSE/CSE,No,0
Female,64,Married,No Qualification,No,0
Male,68,Married,Other/Sub Degree,No,0
Female,61,Widowed,No Qualification,No,0
Female,50,Divorced,No Qualification,No,0
Male,43,Married,Higher/Sub Degree,No,0
Female,19,Single,No Qualification,No,0
Female,21,Married,GCSE/O Level,No,0
Male,51,Divorced,Degree,No,0
Male,65,Single,Other/Sub Degree,No,0
Female,50,Separated,No Qualification,No,0
Female,38,Single,Other/Sub Degree,No,0
Female,78,Widowed,No Qualification,No,0
Male,74,Widowed,No Qualification,No,0
Female,22,Single,Degree,No,0
Male,66,Married,No Qualification,No,0
Female,48,Single,No Qualification,No,0
Female,59,Married,No Qualification,No,0
Female,69,Widowed,No Qualification,No,0
Female,76,Widowed,No Qualification,Yes,1
Female,21,Single,ONC/BTEC,No,0
Female,47,Married,GCSE/O Level,No,0
Female,77,Widowed,No Qualification,No,0
Female,25,Single,GCSE/O Level,Yes,1
Female,71,Widowed,No Qualification,No,0
Female,24,Single,GCSE/O Level,Yes,1
Female,90,Widowed,No Qualification,No,0
Female,41,Divorced,GCSE/O Level,Yes,1
Female,69,Married,No Qualification,No,0
Female,35,Married,GCSE/O Level,No,0
Female,32,Single,No Qualification,Yes,1
Female,48,Single,GCSE/O Level,No,0
Female,34,Married,No Qualification,No,0
Female,28,Married,GCSE/O Level,Yes,1
Male,66,Married,No Qualification,No,0
Male,56,Married,GCSE/CSE,No,0
Male,51,Married,Other/Sub Degree,No,0
Female,63,Married,No Qualification,No,0
Male,44,Married,Degree,No,0
Female,45,Married,Higher/Sub Degree,No,0
Male,55,Married,No Qualification,Yes,1
Female,55,Married,No Qualification,No,0
Female,55,Married,A Levels,No,0
Female,57,Married,GCSE/O Level,No,0
Male,76,Married,A Levels,No,0
Female,59,Married,No Qualification,No,0
Female,46,Married,No Qualification,No,0
Female,56,Married,No Qualification,No,0
Male,67,Married,No Qualification,No,0
Female,73,Single,Other/Sub Degree,No,0
Female,82,Widowed,No Qualification,No,0
Male,75,Married,ONC/BTEC,No,0
Female,41,Married,Other/Sub Degree,No,0
Female,40,Married,A Levels,No,0
Male,37,Married,GCSE/O Level,No,0
Male,53,Married,ONC/BTEC,No,0
Female,35,Married,No Qualification,No,0
Female,39,Married,GCSE/O Level,No,0
Female,31,Separated,Other/Sub Degree,No,0
Male,38,Married,ONC/BTEC,No,0
Female,34,Divorced,GCSE/O Level,Yes,1
Female,36,Married,A Levels,Yes,1
Male,31,Single,Degree,No,0
Female,31,Single,GCSE/CSE,Yes,1
Male,35,Married,Degree,No,0
Male,42,Married,No Qualification,No,0
Male,30,Single,GCSE/CSE,No,0
Female,39,Divorced,GCSE/O Level,No,0
Female,47,Married,GCSE/O Level,No,0
Male,38,Married,Higher/Sub Degree,No,0
Female,29,Divorced,A Levels,No,0
Male,75,Widowed,No Qualification,No,0
Female,47,Married,Higher/Sub Degree,No,0
Male,55,Married,No Qualification,No,0
Male,42,Married,Higher/Sub Degree,No,0
Female,39,Married,Degree,No,0
Male,64,Married,GCSE/O Level,No,0
Female,84,Widowed,No Qualification,No,0
Female,49,Married,Higher/Sub Degree,No,0
Male,24,Single,Higher/Sub Degree,No,0
Male,38,Single,GCSE/O Level,Yes,1
Female,45,Married,Degree,No,0
Female,47,Divorced,GCSE/O Level,No,0
Male,37,Divorced,Higher/Sub Degree,No,0
Male,59,Married,Higher/Sub Degree,No,0
Male,25,Single,Degree,No,0
Male,56,Married,No Qualification,No,0
Female,71,Divorced,GCSE/CSE,No,0
Male,81,Widowed,Higher/Sub Degree,No,0
Male,55,Married,A Levels,No,0
Male,42,Married,GCSE/CSE,No,0
Male,73,Married,No Qualification,No,0
Male,43,Married,A Levels,No,0
Female,57,Divorced,No Qualification,Yes,1
Female,47,Married,Degree,No,0
Female,29,Married,No Qualification,Yes,1
Female,30,Widowed,GCSE/CSE,No,0
Male,58,Married,No Qualification,Yes,1
Female,58,Married,Degree,No,0
Male,70,Widowed,No Qualification,No,0
Male,18,Single,A Levels,No,0
Female,45,Single,No Qualification,No,0
Male,37,Single,GCSE/O Level,Yes,1
Female,44,Separated,GCSE/O Level,No,0
Male,46,Married,Degree,No,0
Male,29,Married,Degree,No,0
Male,50,Married,GCSE/O Level,No,0
Female,51,Married,No Qualification,No,0
Male,80,Widowed,No Qualification,No,0
Female,85,Married,A Levels,No,0
Female,49,Married,No Qualification,No,0
Male,52,Married,No Qualification,No,0
Female,58,Married,No Qualification,No,0
Female,49,Married,Degree,No,0
Male,39,Single,Degree,No,0
Female,53,Married,Degree,Yes,1
Female,71,Married,GCSE/O Level,No,0
Male,29,Single,Higher/Sub Degree,No,0
Female,66,Married,No Qualification,No,0
Male,75,Married,Other/Sub Degree,No,0
Female,45,Divorced,Degree,No,0
Female,69,Married,No Qualification,No,0
Female,49,Divorced,Degree,No,0
Male,63,Married,No Qualification,No,0
Male,61,Married,Other/Sub Degree,No,0
Female,55,Married,Higher/Sub Degree,No,0
Male,57,Married,Higher/Sub Degree,No,0
Female,60,Married,Degree,No,0
Male,58,Married,GCSE/O Level,No,0
Female,76,Widowed,No Qualification,Yes,1
Male,29,Single,Higher/Sub Degree,Yes,1
Female,50,Married,GCSE/O Level,No,0
Male,40,Married,GCSE/O Level,No,0
Female,34,Married,Higher/Sub Degree,No,0
Female,77,Widowed,No Qualification,No,0
Male,47,Married,Degree,No,0
Female,68,Married,No Qualification,No,0
Male,31,Married,Higher/Sub Degree,No,0
Male,41,Married,Degree,No,0
Female,55,Married,Higher/Sub Degree,Yes,1
Male,66,Married,A Levels,No,0
Female,80,Married,No Qualification,No,0
Female,45,Married,Degree,No,0
Male,63,Married,Degree,No,0
Male,62,Married,Degree,No,0
Female,49,Married,No Qualification,No,0
Male,33,Married,ONC/BTEC,No,0
Female,16,Single,GCSE/O Level,No,0
Male,58,Married,Degree,No,0
Female,33,Separated,ONC/BTEC,No,0
Male,65,Married,Degree,No,0
Female,39,Single,Degree,No,0
Female,57,Married,Higher/Sub Degree,Yes,1
Female,31,Married,A Levels,No,0
Male,79,Married,No Qualification,No,0
Female,16,Single,GCSE/CSE,Yes,1
Female,54,Married,No Qualification,No,0
Female,37,Divorced,GCSE/O Level,Yes,1
Female,87,Widowed,No Qualification,No,0
Male,32,Single,Degree,No,0
Male,72,Married,No Qualification,No,0
Male,20,Married,GCSE/O Level,Yes,1
Male,77,Married,No Qualification,No,0
Female,63,Married,No Qualification,No,0
Male,56,Married,No Qualification,No,0
Male,34,Single,GCSE/O Level,Yes,1
Female,24,Married,A Levels,No,0
Female,42,Single,GCSE/O Level,Yes,1
Male,71,Married,No Qualification,No,0
Female,48,Married,GCSE/O Level,No,0
Male,38,Separated,ONC/BTEC,No,0
Female,55,Divorced,A Levels,No,0
Male,50,Married,GCSE/CSE,No,0
Male,30,Single,ONC/BTEC,No,0
Female,72,Married,No Qualification,No,0
Male,59,Married,Other/Sub Degree,No,0
Female,68,Married,Higher/Sub Degree,No,0
Male,48,Married,No Qualification,No,0
Male,42,Widowed,GCSE/O Level,No,0
Female,72,Divorced,Other/Sub Degree,No,0
Male,54,Married,Other/Sub Degree,No,0
Female,53,Divorced,GCSE/O Level,Yes,1
Female,86,Married,No Qualification,No,0
Female,57,Divorced,No Qualification,Yes,1
Female,30,Single,Degree,No,0
Male,35,Single,No Qualification,Yes,1
Female,25,Separated,GCSE/O Level,Yes,1
Male,67,Married,Other/Sub Degree,No,0
Female,33,Divorced,GCSE/O Level,No,0
Female,51,Married,No Qualification,Yes,1
Female,54,Married,No Qualification,No,0
Male,86,Married,No Qualification,No,0
Female,69,Married,No Qualification,No,0
Female,23,Married,Higher/Sub Degree,No,0
Female,33,Single,Degree,Yes,1
Male,79,Married,No Qualification,No,0
Male,21,Single,A Levels,No,0
Female,37,Divorced,GCSE/O Level,No,0
Male,40,Married,GCSE/O Level,Yes,1
Male,79,Single,No Qualification,No,0
Female,34,Divorced,Higher/Sub Degree,Yes,1
Male,28,Single,GCSE/O Level,Yes,1
Female,44,Married,No Qualification,Yes,1
Female,64,Married,GCSE/O Level,No,0
Female,51,Separated,No Qualification,No,0
Male,21,Single,ONC/BTEC,Yes,1
Male,40,Single,GCSE/O Level,Yes,1
Female,42,Single,GCSE/O Level,No,0
Female,47,Divorced,No Qualification,No,0
Male,73,Widowed,Other/Sub Degree,No,0
Female,18,Single,Higher/Sub Degree,Yes,1
Male,24,Single,GCSE/O Level,No,0
Female,69,Widowed,GCSE/O Level,No,0
Female,61,Married,No Qualification,No,0
Female,83,Single,No Qualification,No,0
Female,80,Widowed,No Qualification,No,0
Female,80,Married,No Qualification,No,0
Female,26,Single,GCSE/O Level,No,0
Female,34,Separated,GCSE/O Level,No,0
Male,34,Married,Degree,No,0
Female,39,Single,GCSE/O Level,Yes,1
