gender,age,marital_status,qualification,smoke,smoke_numerical
Male,33,Married,Other/Sub Degree,Yes,1
Male,36,Married,GCSE/O Level,No,0
Female,39,Divorced,No Qualification,No,0
Male,35,Married,GCSE/O Level,Yes,1
Female,89,Widowed,No Qualification,No,0
Female,23,Married,Degree,Yes,1
Female,32,Divorced,GCSE/O Level,No,0
Male,32,Married,No Qualification,Yes,1
Male,35,Married,GCSE/O Level,Yes,1
Female,18,Single,A Levels,No,0
Male,44,Divorced,Degree,No,0
Female,75,Married,GCSE/CSE,No,0
Female,65,Married,GCSE/O Level,No,0
Female,54,Married,ONC/BTEC,No,0
Male,32,Married,GCSE/O Level,No,0
Female,57,Married,Higher/Sub Degree,No,0
Female,50,Married,Other/Sub Degree,Yes,1
Female,58,Married,Other/Sub Degree,No,0
Female,30,Married,Degree,No,0
Female,57,Married,Higher/Sub Degree,No,0
Female,60,Married,No Qualification,Yes,1
Female,78,Separated,No Qualification,No,0
Female,44,Married,No Qualification,Yes,1
Male,32,Single,ONC/BTEC,Yes,1
Female,56,Separated,Higher/Sub Degree,No,0
Male,51,Married,Other/Sub Degree,No,0
Male,71,Married,Other/Sub Degree,No,0
Female,74,Widowed,Other/Sub Degree,No,0
Female,56,Single,Degree,Yes,1
Female,80,Widowed,No Qualification,No,0
Female,51,Married,ONC/BTEC,No,0
Female,53,Widowed,GCSE/O Level,No,0
Male,80,Married,No Qualification,No,0
Male,42,Married,Degree,Yes,1
Female,82,Widowed,Other/Sub Degree,No,0
Male,58,Married,A Levels,No,0
Female,78,Married,Degree,No,0
Male,61,Married,No Qualification,Yes,1
Female,49,Single,No Qualification,Yes,1
Female,51,Divorced,GCSE/CSE,No,0
Male,48,Married,Other/Sub Degree,No,0
Female,37,Married,GCSE/O Level,No,0
Male,51,Married,GCSE/CSE,Yes,1
Male,55,Married,GCSE/O Level,No,0
Female,48,Married,No Qualification,No,0
Female,82,Widowed,No Qualification,No,0
Female,56,Married,No Qualification,No,0
Female,71,Widowed,GCSE/O Level,No,0
Male,30,Single,No Qualification,No,0
Female,73,Widowed,No Qualification,No,0
Female,35,Married,GCSE/O Level,Yes,1
Male,79,Married,No Qualification,No,0
Male,75,Widowed,No Qualification,Yes,1
Female,49,Married,ONC/BTEC,No,0
Female,74,Married,No Qualification,No,0
Male,33,Married,No Qualification,No,0
Female,81,Widowed,No Qualification,No,0
Female,63,Married,No Qualification,No,0
Female,78,Widowed,No Qualification,No,0
Male,68,Widowed,No Qualification,Yes,1
Male,73,Married,No Qualification,No,0
Female,34,Married,A Levels,No,0
Female,36,Divorced,No Qualification,Yes,1
Female,16,Single,No Qualification,No,0
Male,72,Widowed,No Qualification,No,0
Female,66,Married,Higher/Sub Degree,No,0
Female,41,Married,No Qualification,No,0
Female,49,Married,Other/Sub Degree,Yes,1
Male,42,Single,No Qualification,No,0
Female,54,Separated,GCSE/CSE,No,0
Male,70,Married,Higher/Sub Degree,No,0
Female,29,Married,GCSE/CSE,No,0
Male,43,Married,No Qualification,Yes,1
Female,19,Single,A Levels,No,0
Male,44,Married,Higher/Sub Degree,No,0
Male,27,Single,Degree,Yes,1
Male,68,Married,No Qualification,No,0
Female,80,Widowed,GCSE/O Level,No,0
Male,85,Widowed,No Qualification,No,0
Male,65,Married,No Qualification,No,0
Female,88,Widowed,No Qualification,No,0
Female,76,Widowed,No Qualification,No,0
Male,81,Married,GCSE/O Level,No,0
Female,44,Separated,Degree,Yes,1
Female,34,Married,Other/Sub Degree,No,0
Female,55,Married,Higher/Sub Degree,No,0
Male,77,Widowed,No Qualification,No,0
Female,33,Married,Degree,No,0
Male,82,Single,No Qualification,No,0
Female,77,Widowed,Higher/Sub Degree,No,0
Male,19,Single,GCSE/O Level,No,0
Female,70,Widowed,Other/Sub Degree,No,0
Female,74,Widowed,No Qualification,No,0
Female,57,Married,Other/Sub Degree,No,0
Female,44,Divorced,GCSE/CSE,No,0
Female,38,Single,Degree,No,0
Male,43,Married,Degree,No,0
Female,57,Separated,No Qualification,No,0
Female,54,Divorced,GCSE/O Level,Yes,1
Male,17,Single,GCSE/O Level,No,0
Male,60,Married,No Qualification,No,0
Female,50,Married,No Qualification,No,0
Female,24,Single,GCSE/CSE,Yes,1
Female,78,Widowed,No Qualification,No,0
Male,60,Single,Other/Sub Degree,No,0
Female,85,Widowed,Other/Sub Degree,Yes,1
Male,59,Married,No Qualification,No,0
Male,65,Married,Degree,No,0
Female,55,Married,Other/Sub Degree,No,0
Female,32,Married,ONC/BTEC,No,0
Male,41,Single,Higher/Sub Degree,No,0
Female,31,Single,Higher/Sub Degree,No,0
Male,45,Married,No Qualification,Yes,1
Female,30,Single,Degree,No,0
Female,19,Single,A Levels,No,0
Female,76,Widowed,GCSE/O Level,No,0
Male,73,Married,No Qualification,No,0
Male,19,Single,GCSE/O Level,Yes,1
Male,34,Married,Degree,No,0
Female,59,Married,No Qualification,No,0
Female,22,Single,GCSE/CSE,Yes,1
Female,27,Single,Degree,No,0
Female,45,Married,A Levels,No,0
Female,69,Widowed,Other/Sub Degree,No,0
Male,76,Married,Degree,No,0
Female,54,Married,Degree,No,0
Male,72,Married,Degree,No,0
Female,89,Widowed,No Qualification,No,0
Female,78,Widowed,No Qualification,Yes,1
Female,60,Married,GCSE/O Level,No,0
Female,39,Married,A Levels,No,0
Male,28,Single,GCSE/O Level,Yes,1
Male,23,Single,GCSE/CSE,Yes,1
Male,26,Single,A Levels,No,0
Female,52,Married,Other/Sub Degree,No,0
Female,54,Married,Other/Sub Degree,No,0
Male,20,Single,A Levels,Yes,1
Female,59,Married,Other/Sub Degree,No,0
Male,30,Married,ONC/BTEC,No,0
Male,41,Married,GCSE/O Level,No,0
Female,26,Single,GCSE/O Level,No,0
Female,27,Married,GCSE/O Level,No,0
Male,49,Married,No Qualification,Yes,1
Male,29,Single,ONC/BTEC,No,0
Female,36,Divorced,GCSE/O Level,No,0
Male,43,Divorced,GCSE/CSE,No,0
Male,29,Single,ONC/BTEC,No,0
Female,34,Separated,GCSE/O Level,Yes,1
Female,81,Married,No Qualification,No,0
Female,30,Single,GCSE/O Level,Yes,1
Male,25,Single,Degree,Yes,1
Male,59,Divorced,No Qualification,Yes,1
Female,44,Widowed,No Qualification,No,0
Male,64,Married,GCSE/O Level,No,0
Female,35,Married,A Levels,No,0
Male,40,Single,GCSE/O Level,No,0
Female,65,Single,A Levels,No,0
Female,17,Single,GCSE/O Level,No,0
Male,72,Married,No Qualification,No,0
Female,29,Married,Degree,No,0
Male,39,Married,No Qualification,No,0
Male,70,Widowed,No Qualification,No,0
Male,73,Married,No Qualification,No,0
Male,46,Single,GCSE/O Level,No,0
Male,59,Married,ONC/BTEC,No,0
Female,77,Widowed,No Qualification,No,0
Female,42,Married,GCSE/O Level,Yes,1
Male,41,Married,GCSE/O Level,No,0
Male,49,Married,A Levels,Yes,1
Male,67,Single,Degree,No,0
Female,65,Single,No Qualification,No,0
Male,40,Single,No Qualification,No,0
Male,49,Separated,GCSE/O Level,No,0
Male,34,Single,GCSE/CSE,No,0
Female,64,Married,No Qualification,No,0
Female,44,Widowed,Degree,No,0
Female,72,Widowed,No Qualification,No,0
Male,32,Married,A Levels,Yes,1
Female,53,Married,No Qualification,No,0
Female,50,Married,A Levels,No,0
Female,63,Divorced,No Qualification,No,0
Female,57,Married,Degree,No,0
Male,40,Married,Degree,No,0
Female,88,Divorced,Other/Sub Degree,No,0
Male,57,Married,Degree,No,0
Female,54,Married,Degree,No,0
Female,58,Widowed,No Qualification,No,0
Female,77,Divorced,Higher/Sub Degree,No,0
Female,45,Divorced,GCSE/CSE,No,0
Female,31,Single,GCSE/O Level,No,0
Male,31,Married,ONC/BTEC,No,0
Male,80,Widowed,Degree,No,0
Male,67,Widowed,Degree,Yes,1
Male,40,Single,GCSE/O Level,Yes,1
Female,70,Widowed,No Qualification,No,0
Female,28,Single,GCSE/CSE,Yes,1
Male,30,Married,GCSE/CSE,No,0
Female,70,Divorced,Other/Sub Degree,No,0
Male,57,Married,Degree,No,0
Female,76,Widowed,GCSE/O Level,No,0
Female,89,Widowed,No Qualification,No,0
Male,81,Married,No Qualification,No,0
Female,30,Single,ONC/BTEC,No,0
Female,39,Single,Higher/Sub Degree,No,0
Female,73,Married,No Qualification,Yes,1
Female,39,Married,A Levels,No,0
Female,76,Widowed,No Qualification,No,0
Male,62,Single,No Qualification,No,0
Female,66,Married,A Levels,No,0
Female,53,Separated,Degree,No,0
Male,60,Married,Degree,No,0
Female,36,Married,GCSE/O Level,No,0
Female,40,Single,GCSE/CSE,No,0
Female,57,Separated,No Qualification,Yes,1
Male,16,Single,No Qualification,Yes,1
Female,25,Single,GCSE/O Level,No,0
Male,58,Single,No Qualification,No,0
Female,49,Divorced,No Qualification,No,0
Female,48,Single,Degree,No,0
Female,76,Widowed,No Qualification,No,0
Male,88,Widowed,No Qualification,No,0
Male,35,Married,A Levels,No,0
Male,43,Married,Degree,No,0
Female,69,Widowed,No Qualification,No,0
Female,64,Widowed,No Qualification,Yes,1
Female,40,Divorced,GCSE/O Level,Yes,1
Male,78,Married,Degree,No,0
Male,58,Married,Degree,No,0
Female,34,Married,Degree,Yes,1
Female,46,Married,Degree,No,0
Female,65,Married,No Qualification,No,0
Female,34,Single,GCSE/O Level,Yes,1
Female,40,Separated,GCSE/CSE,No,0
Male,79,Married,No Qualification,No,0
Male,36,Married,No Qualification,No,0
Female,39,Married,No Qualification,No,0
Male,24,Married,GCSE/CSE,No,0
Female,28,Single,Other/Sub Degree,Yes,1
Female,26,Single,A Levels,No,0
Female,45,Widowed,GCSE/CSE,No,0
Female,24,Single,GCSE/O Level,Yes,1
Male,77,Divorced,No Qualification,No,0
Female,78,Married,Higher/Sub Degree,No,0
Male,25,Single,Degree,No,0
Male,36,Married,GCSE/CSE,No,0
Male,17,Single,GCSE/O Level,No,0
Male,55,Married,GCSE/O Level,No,0
Female,70,Married,Other/Sub Degree,No,0
Female,43,Single,GCSE/O Level,Yes,1
Female,59,Divorced,No Qualification,No,0
Female,32,Married,Other/Sub Degree,No,0
Female,34,Married,Degree,No,0
Male,58,Single,Degree,No,0
Male,44,Married,GCSE/O Level,No,0
Male,64,Married,No Qualification,Yes,1
Female,34,Married,GCSE/CSE,No,0
Male,32,Single,GCSE/CSE,No,0
Male,38,Married,Degree,No,0
Male,28,Single,GCSE/CSE,No,0
Male,42,Married,GCSE/CSE,No,0
Female,34,Single,Degree,No,0
Male,23,Single,ONC/BTEC,Yes,1
Male,55,Separated,Degree,No,0
Male,65,Married,Other/Sub Degree,No,0
Female,62,Married,GCSE/O Level,No,0
Female,66,Married,Higher/Sub Degree,No,0
Female,73,Married,No Qualification,No,0
Male,34,Single,Other/Sub Degree,No,0
Female,33,Married,Degree,No,0
Male,76,Widowed,No Qualification,No,0
Female,55,Married,No Qualification,Yes,1
Female,39,Married,Degree,No,0
Female,26,Single,Degree,No,0
Male,61,Married,GCSE/O Level,Yes,1
Female,78,Married,Other/Sub Degree,No,0
Male,42,Married,Degree,No,0
Female,72,Married,No Qualification,No,0
Male,62,Widowed,No Qualification,Yes,1
Female,46,Married,GCSE/O Level,Yes,1
Male,24,Single,A Levels,No,0
Male,27,Single,Degree,Yes,1
Female,64,Married,GCSE/O Level,No,0
Male,86,Married,Degree,No,0
Female,46,Married,Degree,No,0
Male,20,Single,ONC/BTEC,Yes,1
Male,35,Divorced,Higher/Sub Degree,No,0
Female,46,Married,Higher/Sub Degree,Yes,1
Female,39,Married,Higher/Sub Degree,No,0
Female,28,Married,GCSE/O Level,No,0
Female,33,Married,Higher/Sub Degree,No,0
Female,39,Divorced,GCSE/O Level,No,0
Male,45,Divorced,GCSE/CSE,No,0
Female,37,Separated,Higher/Sub Degree,No,0
Male,29,Married,ONC/BTEC,Yes,1
Male,76,Widowed,No Qualification,No,0
Male,26,Married,Degree,No,0
Female,47,Divorced,Degree,Yes,1
Male,72,Divorced,No Qualification,No,0
Female,72,Married,No Qualification,No,0
Female,65,Widowed,No Qualification,No,0
Female,69,Married,No Qualification,No,0
Female,61,Married,A Levels,No,0
Female,63,Married,No Qualification,No,0
Male,16,Single,No Qualification,No,0
Male,61,Divorced,No Qualification,No,0
Male,18,Single,GCSE/O Level,No,0
Male,76,Single,No Qualification,No,0
Male,65,Married,GCSE/O Level,No,0
Female,52,Married,No Qualification,No,0
Male,64,Widowed,No Qualification,No,0
Female,42,Married,GCSE/CSE,No,0
Male,40,Married,Degree,No,0
Female,28,Married,Other/Sub Degree,No,0
Male,40,Married,Degree,No,0
Male,48,Married,GCSE/O Level,No,0
Male,35,Separated,Degree,No,0
Female,30,Single,Degree,Yes,1
Female,26,Single,Degree,No,0
Male,81,Widowed,No Qualification,No,0
Male,77,Divorced,A Levels,No,0
Female,25,Single,Degree,No,0
Female,66,Married,No Qualification,No,0
Male,18,Single,A Levels,Yes,1
Male,43,Married,GCSE/O Level,No,0
Male,49,Divorced,Other/Sub Degree,Yes,1
Male,29,Married,Degree,No,0
Female,20,Single,No Qualification,No,0
Female,75,Widowed,Other/Sub Degree,Yes,1
Male,40,Married,No Qualification,No,0
Female,64,Single,Higher/Sub Degree,No,0
Male,66,Single,Degree,No,0
Female,34,Single,Degree,No,0
Female,76,Divorced,Degree,No,0
Male,30,Married,Degree,Yes,1
Male,55,Married,Degree,No,0
Female,49,Single,GCSE/O Level,No,0
Male,38,Separated,Degree,No,0
Male,23,Single,A Levels,Yes,1
Male,77,Married,Degree,No,0
Male,46,Single,Degree,Yes,1
Female,26,Separated,Higher/Sub Degree,No,0
Female,26,Single,Degree,Yes,1
Male,45,Single,Degree,Yes,1
Female,45,Single,No Qualification,No,0
Female,61,Married,No Qualification,No,0
Female,47,Married,GCSE/O Level,No,0
Female,75,Widowed,Other/Sub Degree,Yes,1
Female,36,Divorced,No Qualification,Yes,1
Male,26,Single,Degree,No,0
Male,71,Widowed,No Qualification,Yes,1
Male,69,Married,No Qualification,Yes,1
Male,38,Single,A Levels,Yes,1
Female,21,Single,GCSE/O Level,No,0
Male,26,Single,No Qualification,No,0
Female,83,Widowed,No Qualification,No,0
Female,56,Divorced,No Qualification,No,0
Male,34,Single,Degree,Yes,1
Female,66,Widowed,No Qualification,No,0
Female,32,Single,GCSE/O Level,Yes,1
Female,77,Single,No Qualification,No,0
Female,70,Married,No Qualification,No,0
Male,24,Single,GCSE/O Level,Yes,1
Female,81,Widowed,No Qualification,No,0
Male,37,Separated,Other/Sub Degree,No,0
Male,90,Married,No Qualification,No,0
Female,29,Single,GCSE/O Level,Yes,1
Female,24,Single,A Levels,No,0
Male,81,Widowed,No Qualification,No,0
Female,38,Separated,ONC/BTEC,No,0
Male,22,Single,GCSE/O Level,Yes,1
Male,31,Married,GCSE/CSE,No,0
Female,77,Widowed,No Qualification,No,0
Female,61,Divorced,No Qualification,Yes,1
Male,54,Single,No Qualification,No,0
Female,72,Widowed,No Qualification,No,0
Male,66,Single,No Qualification,Yes,1
Male,47,Single,ONC/BTEC,No,0
Female,76,Widowed,No Qualification,No,0
Male,41,Married,A Levels,No,0
Female,80,Widowed,No Qualification,No,0
Female,63,Married,No Qualification,No,0
Male,29,Married,No Qualification,No,0
Female,40,Single,GCSE/O Level,No,0
Female,54,Married,No Qualification,No,0
Male,66,Married,Degree,Yes,1
Male,69,Married,Other/Sub Degree,No,0
Male,51,Married,No Qualification,No,0
Male,70,Widowed,No Qualification,No,0
Female,36,Married,GCSE/O Level,Yes,1
Female,73,Married,No Qualification,No,0
Male,72,Married,Other/Sub Degree,No,0
Female,18,Single,GCSE/O Level,No,0
Female,57,Married,Other/Sub Degree,No,0
Male,21,Single,A Levels,No,0
Male,64,Married,Degree,No,0
Female,39,Married,GCSE/CSE,No,0
Female,37,Divorced,GCSE/CSE,No,0
Female,36,Married,GCSE/CSE,Yes,1
Female,37,Married,Degree,No,0
Male,79,Married,No Qualification,No,0
Female,49,Married,GCSE/CSE,No,0
Female,30,Married,GCSE/O Level,No,0
Female,27,Single,Degree,No,0
Male,16,Single,GCSE/O Level,No,0
Male,40,Married,GCSE/O Level,No,0
Female,45,Separated,GCSE/O Level,No,0
Female,78,Widowed,Other/Sub Degree,No,0
Female,59,Married,Other/Sub Degree,No,0
Female,93,Widowed,Other/Sub Degree,Yes,1
Female,33,Married,A Levels,No,0
Female,57,Divorced,No Qualification,No,0
Female,53,Single,No Qualification,Yes,1
Female,54,Divorced,Higher/Sub Degree,No,0
Female,33,Married,A Levels,No,0
Female,52,Single,Other/Sub Degree,No,0
Male,31,Single,Higher/Sub Degree,No,0
Female,54,Married,Degree,No,0
Female,41,Married,Higher/Sub Degree,Yes,1
Female,23,Single,GCSE/O Level,No,0
Female,81,Widowed,GCSE/CSE,No,0
Female,17,Single,A Levels,No,0
Male,73,Married,No Qualification,No,0
Male,62,Married,No Qualification,No,0
Female,73,Married,Degree,Yes,1
Male,22,Single,ONC/BTEC,Yes,1
Female,18,Single,A Levels,No,0
Female,86,Widowed,GCSE/O Level,Yes,1
Female,54,Married,Degree,Yes,1
Female,55,Married,Degree,No,0
Female,22,Single,Degree,Yes,1
Female,30,Married,ONC/BTEC,No,0
Female,25,Single,Degree,No,0
Female,54,Divorced,Other/Sub Degree,Yes,1
Male,36,Single,GCSE/O Level,No,0
Female,40,Married,Other/Sub Degree,No,0
Female,51,Divorced,GCSE/O Level,Yes,1
Male,44,Married,Degree,No,0
Female,26,Single,Degree,Yes,1
Male,73,Married,ONC/BTEC,No,0
Female,36,Married,GCSE/O Level,No,0
Male,69,Widowed,No Qualification,No,0
Female,41,Married,Degree,No,0
Male,40,Married,Degree,No,0
Male,82,Married,Other/Sub Degree,Yes,1
Male,27,Single,Degree,No,0
Female,35,Single,Degree,No,0
Male,35,Married,Degree,No,0
Male,33,Married,Other/Sub Degree,No,0
Female,41,Divorced,No Qualification,Yes,1
Female,26,Separated,Other/Sub Degree,No,0
Female,55,Married,No Qualification,No,0
Male,18,Single,GCSE/O Level,No,0
Female,68,Married,GCSE/O Level,No,0
Female,43,Single,GCSE/O Level,No,0
Male,58,Married,No Qualification,No,0
Female,39,Married,GCSE/O Level,No,0
Female,54,Separated,No Qualification,No,0
Female,62,Married,No Qualification,No,0
Female,40,Married,A Levels,Yes,1
Female,59,Single,GCSE/O Level,No,0
Female,57,Divorced,GCSE/O Level,No,0
Female,42,Single,GCSE/O Level,Yes,1
Female,48,Separated,GCSE/O Level,Yes,1
Female,45,Divorced,GCSE/O Level,Yes,1
Female,24,Single,GCSE/CSE,No,0
Female,66,Widowed,GCSE/CSE,No,0
Male,63,Single,Higher/Sub Degree,Yes,1
Male,28,Single,GCSE/O Level,No,0
Male,59,Divorced,No Qualification,No,0
Male,50,Married,Higher/Sub Degree,No,0
Female,41,Separated,GCSE/CSE,No,0
Female,76,Single,No Qualification,No,0
Male,24,Single,ONC/BTEC,Yes,1
Female,25,Single,Other/Sub Degree,Yes,1
Female,33,Widowed,Degree,No,0
Male,31,Single,ONC/BTEC,No,0
Female,33,Single,Degree,Yes,1
Female,37,Single,No Qualification,No,0
Male,81,Divorced,No Qualification,No,0
Female,36,Single,No Qualification,No,0
Female,64,Married,No Qualification,Yes,1
Male,51,Married,Other/Sub Degree,No,0
Female,19,Single,A Levels,No,0
Female,18,Single,A Levels,No,0
Male,31,Married,Degree,Yes,1
Female,24,Single,ONC/BTEC,No,0
Male,18,Single,No Qualification,Yes,1
Male,22,Single,Degree,No,0
Female,26,Single,Other/Sub Degree,No,0
Female,33,Single,Degree,No,0
Male,17,Single,GCSE/CSE,Yes,1
Male,37,Single,ONC/BTEC,Yes,1
Male,60,Married,No Qualification,No,0
Male,80,Married,No Qualification,No,0
Male,68,Married,ONC/BTEC,Yes,1
Female,65,Married,GCSE/O Level,No,0
Male,42,Married,No Qualification,No,0
Female,48,Married,GCSE/O Level,No,0
Male,46,Married,A Levels,No,0
Male,44,Married,ONC/BTEC,No,0
Female,29,Married,A Levels,Yes,1
Male,38,Married,Higher/Sub Degree,No,0
Female,52,Married,No Qualification,No,0
Male,48,Divorced,Degree,No,0
Male,65,Married,GCSE/CSE,No,0
Male,27,Single,Degree,No,0
Female,37,Married,GCSE/O Level,No,0
Female,42,Married,GCSE/O Level,No,0
Male,53,Single,No Qualification,No,0
Female,66,Widowed,No Qualification,Yes,1
Female,20,Single,ONC/BTEC,No,0
Female,62,Married,No Qualification,No,0
Male,18,Single,Other/Sub Degree,No,0
Male,69,Married,No Qualification,No,0
Male,63,Divorced,ONC/BTEC,Yes,1
Male,41,Married,Degree,No,0
Male,74,Married,Higher/Sub Degree,No,0
Female,20,Single,Other/Sub Degree,No,0
Female,18,Single,GCSE/O Level,No,0
Male,28,Single,GCSE/O Level,Yes,1
Male,49,Married,Degree,No,0
Male,64,Married,Higher/Sub Degree,No,0
Female,69,Widowed,GCSE/O Level,No,0
Female,33,Separated,No Qualification,No,0
Female,22,Single,GCSE/CSE,Yes,1
Female,63,Married,No Qualification,No,0
Female,93,Widowed,No Qualification,No,0
Female,65,Married,No Qualification,No,0
Female,33,Married,GCSE/O Level,Yes,1
Female,38,Married,No Qualification,No,0
Female,29,Single,GCSE/O Level,Yes,1
Male,59,Married,A Levels,No,0
Male,37,Single,Degree,No,0
Male,51,Single,No Qualification,Yes,1
Female,33,Married,GCSE/O Level,No,0
Female,80,Single,Higher/Sub Degree,No,0
Male,49,Married,A Levels,No,0
Female,38,Married,Degree,No,0
Male,45,Single,GCSE/O Level,Yes,1
Female,58,Married,Higher/Sub Degree,No,0
Female,63,Married,Degree,No,0
Female,69,Married,Other/Sub Degree,No,0
Male,86,Widowed,Other/Sub Degree,No,0
Female,66,Widowed,Higher/Sub Degree,No,0
Male,61,Married,No Qualification,No,0
Female,62,Separated,Higher/Sub Degree,No,0
Female,89,Widowed,No Qualification,No,0
Female,72,Widowed,Degree,No,0
Male,64,Married,Other/Sub Degree,No,0
Female,58,Married,A Levels,No,0
Female,80,Widowed,No Qualification,No,0
Female,61,Married,Higher/Sub Degree,No,0
Female,34,Married,Higher/Sub Degree,No,0
Female,36,Married,GCSE/O Level,Yes,1
Female,34,Divorced,GCSE/O Level,Yes,1
Female,40,Single,A Levels,No,0
Male,53,Single,No Qualification,No,0
Female,31,Single,Degree,No,0
Female,86,Separated,No Qualification,No,0
Female,46,Married,No Qualification,Yes,1
Male,34,Single,GCSE/O Level,No,0
Female,44,Single,Degree,No,0
Female,69,Widowed,A Levels,No,0
Female,56,Widowed,No Qualification,No,0
Male,79,Single,No Qualification,No,0
Female,41,Separated,GCSE/CSE,Yes,1
Male,34,Divorced,ONC/BTEC,Yes,1
Male,47,Single,GCSE/CSE,Yes,1
Male,46,Married,No Qualification,No,0
Female,30,Single,No Qualification,No,0
Female,19,Single,A Levels,No,0
Male,45,Married,Degree,No,0
